| Rank | Ticker | Company Name                 | Current Price | 20D MA  | 50D MA  | 100D MA | 200D MA |
| 132  | DELL   | Dell Technologies Inc        | $91.57          | $106.60  | $109.32  | $118.24  | $121.08  |
| 133  | DFS    | Discover Financial Services  | $157.77         | $186.29  | $187.66  | $177.70  | $155.13  |
| 134  | DG     | Dollar General Corp          | $78.64          | $75.74   | $73.81   | $76.03   | $94.36   |
| 135  | DGX    | Quest Diagnostics Inc        | $168.15         | $171.72  | $162.18  | $159.54  | $153.23  |
| 136  | DHI    | D.R. Horton                  | $132.53         | $129.24  | $136.19  | $150.76  | $159.53  |
| 137  | DHR    | Danaher Corp                 | $205.61         | $207.29  | $221.75  | $231.90  | $247.76  |
| 138  | DIS    | Walt Disney Company          | $97.90          | $109.00  | $110.06  | $108.42  | $101.56  |
| 139  | DLR    | Digital Realty Trust         | $147.01         | $158.99  | $167.68  | $174.38  | $163.28  |
| 140  | DLTR   | Dollar Tree Inc              | $65.69          | $71.87   | $72.86   | $70.41   | $82.26   |
| 141  | DOC    | Healthpeak Properties Inc    | $20.32          | $20.03   | $20.20   | $20.96   | $21.00   |
| 142  | DOV    | Dover Corp                   | $180.77         | $195.70  | $195.19  | $196.31  | $189.46  |
| 143  | DOW    | Dow Inc                      | $36.67          | $38.19   | $39.16   | $42.43   | $48.04   |
| 144  | DPZ    | Domino's Pizza Inc           | $430.56         | $471.53  | $449.71  | $445.48  | $450.32  |
| 145  | DRI    | Darden Restaurants           | $189.39         | $194.72  | $191.33  | $179.49  | $165.69  |
| 146  | DTE    | Dte Energy Company           | $132.03         | $130.92  | $124.86  | $123.92  | $121.50  |
| 147  | DUK    | Duke Energy Corp             | $117.70         | $115.55  | $112.12  | $112.87  | $110.96  |
| 148  | DVA    | Davita Healthcare Partners I | $146.63         | $150.74  | $159.10  | $157.85  | $152.64  |
| 149  | DVN    | Devon Energy Corp            | $34.41          | $35.34   | $35.05   | $36.16   | $40.39   |
| 150  | DXCM   | Dexcom Inc                   | $70.26          | $84.78   | $84.24   | $79.51   | $84.77   |
| 151  | EA     | Electronic Arts Inc          | $137.88         | $132.46  | $133.94  | $145.29  | $143.93  |
| 152  | EBAY   | Ebay Inc                     | $65.22          | $68.10   | $66.45   | $64.75   | $61.05   |
| 153  | ECL    | Ecolab Inc                   | $259.06         | $265.88  | $250.77  | $249.70  | $246.73  |
| 154  | ED     | Consolidated Edison Company  | $103.77         | $99.50   | $94.84   | $96.58   | $97.03   |
| 155  | EFX    | Equifax Inc                  | $239.45         | $245.80  | $254.60  | $259.81  | $265.42  |
| 156  | EG     | Everest Re Group             | $354.19         | $346.11  | $352.45  | $362.32  | $372.30  |
| 157  | EIX    | Edison International         | $56.06          | $53.27   | $59.16   | $71.35   | $75.51   |
| 158  | EL     | Estee Lauder Companies       | $69.60          | $71.48   | $74.07   | $75.04   | $88.03   |
| 159  | ELV    | Elevance Health Inc          | $422.04         | $395.23  | $391.61  | $398.94  | $464.77  |
| 160  | EMN    | Eastman Chemical Company     | $94.53          | $98.57   | $95.43   | $98.73   | $99.85   |
| 161  | EMR    | Emerson Electric Company     | $110.72         | $120.13  | $123.29  | $123.17  | $115.76  |
| 162  | ENPH   | Enphase Energy Inc           | $60.83          | $62.01   | $64.52   | $69.71   | $91.60   |
| 163  | EOG    | Eog Resources                | $124.49         | $128.42  | $128.98  | $128.31  | $126.80  |
| 164  | EPAM   | Epam Systems Inc             | $191.36         | $221.79  | $233.69  | $230.19  | $212.33  |
| 165  | EQIX   | Equinix Inc                  | $836.24         | $907.36  | $919.36  | $923.38  | $866.46  |
| 166  | EQR    | Equity Residential           | $69.78          | $72.16   | $70.81   | $72.23   | $71.51   |
| 167  | EQT    | Eqt Corp                     | $49.11          | $50.22   | $50.26   | $46.02   | $40.90   |
| 168  | ERIE   | Erie Indemnity Company       | $443.55         | $412.86  | $406.39  | $419.59  | $429.42  |
| 169  | ES     | Eversource Energy            | $60.54          | $61.77   | $59.15   | $60.69   | $61.84   |
| 170  | ESS    | Essex Property Trust         | $295.54         | $298.87  | $289.25  | $293.35  | $288.93  |
| 171  | ETN    | Eaton Corp                   | $282.31         | $294.92  | $319.26  | $337.38  | $325.45  |
| 172  | ETR    | Entergy Corp                 | $82.38          | $84.43   | $81.33   | $77.27   | $67.82   |
| 173  | EVRG   | Evergy Inc                   | $65.59          | $67.30   | $64.59   | $63.40   | $60.25   |
| 174  | EW     | Edwards Lifesciences Corp    | $68.39          | $72.56   | $72.14   | $71.18   | $73.69   |
| 175  | EXC    | Exelon Corp                  | $43.40          | $43.36   | $40.82   | $39.73   | $38.57   |
| 176  | EXPD   | Expeditors Intl              | $117.44         | $117.31  | $114.06  | $116.69  | $119.70  |
| 177  | EXPE   | Expedia Group Inc            | $163.75         | $194.54  | $186.25  | $180.92  | $155.94  |
| 178  | EXR    | Extra Space Storage Inc      | $151.85         | $155.42  | $152.96  | $158.23  | $161.37  |
| 179  | F      | Ford Motor Company           | $9.69           | $9.45    | $9.73    | $10.23   | $10.87   |
| 180  | FANG   | Diamondback Energy           | $144.65         | $152.05  | $162.56  | $168.57  | $180.57  |
| 181  | FAST   | Fastenal Company             | $77.35          | $75.45   | $74.45   | $77.07   | $72.17   |
| 182  | FCX    | Freeport-Mcmoran Inc         | $35.88          | $37.44   | $37.87   | $41.04   | $43.95   |
| 183  | FDS    | Factset Research Systems Inc | $431.17         | $453.88  | $462.32  | $470.18  | $447.51  |
| 184  | FDX    | Fedex Corp                   | $242.96         | $257.47  | $265.55  | $273.82  | $276.27  |
| 185  | FE     | Firstenergy Corp             | $39.15          | $40.26   | $39.94   | $40.82   | $41.09   |
| 186  | FFIV   | F5 Inc                       | $265.31         | $292.60  | $280.93  | $261.31  | $225.61  |
| 187  | FI     | Fiserv Inc                   | $213.41         | $228.63  | $218.26  | $212.83  | $187.94  |
| 188  | FICO   | Fair Isaac and Company       | $1722.85        | $1797.95 | $1868.00 | $2022.39 | $1836.57 |
| 189  | FIS    | Fidelity National Informatio | $68.12          | $70.24   | $76.28   | $81.46   | $80.15   |
| 190  | FITB   | Fifth Third Bancorp          | $38.23          | $42.41   | $43.04   | $44.27   | $42.00   |
| 191  | FMC    | FMC Corp                     | $41.38          | $38.18   | $45.48   | $51.86   | $56.21   |
| 192  | FOX    | Fox Corp Cl B                | $48.99          | $52.39   | $49.40   | $45.95   | $40.54   |
| 193  | FOXA   | Fox Corp Cl A                | $52.72          | $56.02   | $52.41   | $48.89   | $43.37   |
| 194  | FRT    | Federal Realty Investment Tr | $98.28          | $104.74  | $106.46  | $109.99  | $109.31  |
| 195  | FSLR   | First Solar Inc              | $139.10         | $147.60  | $165.45  | $180.42  | $208.32  |
| 196  | FTNT   | Fortinet Inc                 | $98.28          | $107.44  | $101.89  | $96.11   | $81.63   |
| 197  | FTV    | Fortive Corp                 | $74.20          | $79.26   | $78.72   | $77.36   | $75.49   |
| 198  | GD     | General Dynamics Corp        | $264.12         | $253.10  | $258.55  | $272.95  | $284.01  |
| 199  | GDDY   | Godaddy Inc                  | $172.44         | $181.06  | $195.09  | $190.59  | $170.22  |
| 200  | GE     | GE Aerospace                 | $191.72         | $202.46  | $192.91  | $185.10  | $177.24  |
| 201  | GEHC   | GE Healthcare Technologies I | $85.59          | $88.71   | $86.55   | $85.43   | $84.24   |
| 202  | GEN    | Gen Digital Inc              | $27.05          | $27.51   | $27.46   | $28.28   | $26.92   |
| 203  | GEV    | GE Vernova Inc               | $284.21         | $331.47  | $355.60  | $338.27  | $266.08  |
| 204  | GILD   | Gilead Sciences Inc          | $114.43         | $110.65  | $100.47  | $95.65   | $85.04   |
| 205  | GIS    | General Mills                | $62.33          | $60.66   | $60.57   | $63.42   | $66.19   |
| 206  | GL     | Globe Life Inc               | $124.57         | $123.94  | $119.85  | $113.98  | $103.62  |
| 207  | GLW    | Corning Inc                  | $44.91          | $49.54   | $49.83   | $48.79   | $45.04   |
| 208  | GM     | General Motors Company       | $48.28          | $47.57   | $49.73   | $51.58   | $48.92   |
| 209  | GNRC   | Generac Holdings Inc         | $131.34         | $137.92  | $147.69  | $161.49  | $154.88  |
| 210  | GOOG   | Alphabet Cl C                | $165.98         | $178.21  | $188.95  | $183.10  | $177.20  |
| 211  | GOOGL  | Alphabet Cl A                | $164.04         | $176.34  | $187.30  | $181.49  | $175.65  |
| 212  | GPC    | Genuine Parts Company        | $123.58         | $123.67  | $119.90  | $121.49  | $130.46  |
| 213  | GPN    | Global Payments Inc          | $93.25          | $102.97  | $107.42  | $109.27  | $105.52  |
| 214  | GRMN   | Garmin Ltd                   | $213.21         | $221.21  | $216.41  | $208.62  | $189.07  |
| 215  | GS     | Goldman Sachs Group          | $531.43         | $613.65  | $612.59  | $590.22  | $535.73  |
| 216  | GWW    | W.W. Grainger                | $981.54         | $1011.07 | $1052.12 | $1100.29 | $1030.83 |
| 217  | HAL    | Halliburton Company          | $24.66          | $25.77   | $26.67   | $27.91   | $30.06   |
| 218  | HAS    | Hasbro Inc                   | $62.95          | $63.90   | $60.08   | $62.33   | $63.30   |
| 219  | HBAN   | Huntington Bancshares Inc    | $14.40          | $16.00   | $16.46   | $16.62   | $15.29   |
| 220  | HCA    | Hca Holdings Inc             | $323.55         | $320.19  | $317.23  | $331.04  | $345.70  |
| 221  | HD     | Home Depot                   | $368.16         | $391.81  | $398.97  | $404.12  | $383.27  |
| 222  | HES    | Hess Corp                    | $144.61         | $146.45  | $143.68  | $142.00  | $141.74  |
| 223  | HIG    | The Hartford Insurance Group | $117.19         | $115.08  | $112.71  | $114.47  | $111.34  |
| 224  | HII    | Huntington Ingalls Industrie | $195.01         | $176.64  | $186.16  | $197.89  | $228.88  |
| 225  | HLT    | Hilton Inc                   | $231.83         | $259.81  | $254.43  | $250.47  | $233.17  |
| 226  | HOLX   | Hologic Inc                  | $62.59          | $63.80   | $68.10   | $73.14   | $75.69   |
| 227  | HON    | Honeywell International Inc  | $208.59         | $209.92  | $217.00  | $220.10  | $213.38  |
| 228  | HPE    | Hewlett Packard Enterprise C | $15.34          | $19.69   | $21.18   | $21.18   | $20.33   |
| 229  | HPQ    | HP Inc                       | $28.62          | $32.30   | $32.62   | $34.39   | $34.88   |
| 230  | HRL    | Hormel Foods Corp            | $29.92          | $29.03   | $29.83   | $30.59   | $31.10   |
| 231  | HSIC   | Henry Schein Inc             | $72.92          | $74.89   | $74.57   | $73.40   | $71.25   |
| 232  | HST    | Host Marriott Financial Trus | $15.34          | $16.23   | $16.75   | $17.39   | $17.48   |
| 233  | HSY    | Hershey Foods Corp           | $179.54         | $171.83  | $162.76  | $170.45  | $181.73  |
| 234  | HUBB   | Hubbell Inc B                | $340.42         | $371.28  | $403.27  | $426.37  | $407.81  |
| 235  | HUM    | Humana Inc                   | $250.20         | $259.43  | $270.86  | $271.78  | $308.61  |
| 236  | HWM    | Howmet Aerospace Inc         | $125.50         | $130.50  | $124.70  | $117.77  | $103.55  |
| 237  | IBM    | International Business Machi | $248.95         | $256.83  | $241.87  | $231.80  | $212.13  |
| 238  | ICE    | Intercontinental Exchange    | $168.36         | $169.19  | $160.02  | $159.20  | $154.66  |
| 239  | IDXX   | Idexx Laboratories           | $426.69         | $446.44  | $437.08  | $434.75  | $461.88  |
| 240  | IEX    | Idex Corp                    | $184.76         | $192.33  | $204.49  | $212.84  | $208.10  |
| 241  | IFF    | International Flavors & Frag | $79.88          | $82.00   | $83.66   | $88.37   | $93.68   |
| 242  | INCY   | Incyte Corp                  | $68.07          | $71.00   | $71.69   | $72.04   | $67.55   |
| 243  | INTC   | Intel Corp                   | $19.78          | $22.94   | $21.21   | $21.93   | $24.09   |
| 244  | INTU   | Intuit Inc                   | $586.71         | $590.11  | $602.38  | $623.52  | $625.19  |
| 245  | INVH   | Invitation Homes Inc         | $33.88          | $32.77   | $31.83   | $32.61   | $34.00   |
| 246  | IP     | International Paper Company  | $49.38          | $54.46   | $55.22   | $54.97   | $50.65   |
| 247  | IPG    | Interpublic Group of Compani | $27.31          | $27.32   | $27.77   | $28.76   | $29.69   |
| 248  | IQV    | Iqvia Holdings Inc           | $183.48         | $190.93  | $197.41  | $202.80  | $216.71  |
| 249  | IR     | Ingersoll Rand Inc           | $82.89          | $85.36   | $89.06   | $94.62   | $94.01   |
| 250  | IRM    | Iron Mountain Inc            | $84.51          | $91.78   | $99.60   | $108.89  | $105.68  |
| 251  | ISRG   | Intuitive Surg Inc           | $493.72         | $569.23  | $567.28  | $547.44  | $501.46  |
| 252  | IT     | Gartner Inc                  | $466.30         | $497.15  | $507.93  | $513.04  | $493.02  |
| 253  | ITW    | Illinois Tool Works Inc      | $254.82         | $262.12  | $258.01  | $262.67  | $254.21  |
| 254  | IVZ    | Invesco Plc                  | $15.24          | $17.17   | $17.57   | $17.72   | $16.97   |
| 255  | J      | Jacobs Engineering Group Inc | $122.17         | $127.28  | $132.57  | $136.13  | $128.86  |
| 256  | JBHT   | J B Hunt Transport           | $154.18         | $163.34  | $169.43  | $175.49  | $170.47  |
| 257  | JBL    | Jabil Circuit                | $132.44         | $155.09  | $157.03  | $144.43  | $128.25  |
| 258  | JCI    | Johnson Controls Intl        | $76.99          | $84.81   | $82.22   | $81.60   | $76.21   |
| 259  | JKHY   | Jack Henry & Assoc           | $176.69         | $174.56  | $174.11  | $176.21  | $172.71  |
| 260  | JNJ    | Johnson & Johnson            | $165.86         | $162.26  | $153.65  | $154.14  | $155.19  |
| 261  | JNPR   | Juniper Networks             | $35.55          | $36.06   | $36.83   | $37.25   | $37.37   |
| 262  | JPM    | JP Morgan Chase & Company    | $229.14         | $260.37  | $257.98  | $247.20  | $227.35  |
| 263  | K      | Kellanova                    | $82.23          | $82.45   | $81.93   | $81.37   | $75.18   |
| 264  | KDP    | Keurig Dr Pepper Inc         | $33.24          | $33.14   | $32.13   | $32.78   | $33.91   |
| 265  | KEY    | Keycorp                      | $15.16          | $16.85   | $17.26   | $17.75   | $16.60   |
| 266  | KEYS   | Keysight Technologies Inc    | $149.84         | $167.48  | $168.10  | $165.05  | $153.85  |
